Object_Id	Text_Value
1343152	Customer is an individual, group of individuals or an organization who receive or may receive goods, services, products or ideas from our company in return of value which can be money or anything of equivalent value.
1343153	Kind of person who is very likely to buy the product or service offered by the business. Potential customers present an opportunity for the business and after qualification can convert into a quote stage and eventually result in an order or a sale.
1343154	Customer who are loyal to us and repeat the purchases irrespective of minor changes in parameters like price, quantity etc. Customer who buys the more than once in our shop in one year.
1343155	The customers who order the product or service for the first time. Such customers can be switching from a competitor brand or may be new entrant into the market.
1343156	Those who only buy or use the offering because it was on discount or offered a cashback. These people are more likely to switch brands easily if prices reduce unlike loyal customers.
1343157	Those who were once buyer of one business and became buyers of a new business because of some reason. These people would still be potential customers as they have already tried the product or service once.
1343176	A sales order is a commercial document prepared by a seller and issued to a customer. It confirms the sale of goods or services and details the sale’s specifics, including the quantity, pricing, and quality of goods or services provided. It also gives information about the anticipated delivery date, delivery address, payment terms, and other terms and logistics of the sale.Total Cost
1343177	A purchase order is a business document that’s initiated by a buyer and sent to a seller. It contains a summary of the Product or services (as well as the price) that a buyer will purchase from a seller. So that there’s no confusion it’s essential that a buyer is explicit about what their requests are – so the seller completely understands what’s expected.
1343178	A defined geographical area within its borders can sales person or sales team operate.
1343179	Sales growth is a business term that indicates the ability to increase sales revenue from one fiscal period to another.
1343180	Net sales are the total sales generated by a company, excluding any sales returns, allowances, and discounts. It is an important figure and is used by analysts when making decisions about the business or analyzing a company’s top-line growth.
1343181	The total sales that are not adjusted for any discounts, allowances, or returns. They include all types of sales, such as cash, debit or credit card, and trade credit sales.
1343170	If any goods that are purchased are eventually returned, they fall under returns. Our Company typically refunds the complete or partial amount of the goods, and the amount of gross sales is reduced by the amount of the refunds.
1343171	For any goods that are damaged, the company reduces the marked price and sells them at a lower price. The sales of such goods are recorded at a lower price; therefore, the difference between the marked price and the selling price (known as the allowance) is reduced from the gross sales number. 
1343172	Total number of sold products.
1343173	Total cost refers to the aggregation of all types of costs related to a cost object, which means fixed costs, variable costs, and mixed costs. The total cost of our product line includes the variable cost of the goods sold, the costs of advertising the products, running the production line on which the goods are manufactured, and replacing products under the company’s warranty program.
1343174	Offer seasonal discounts to customers on goods purchased. Discounts can also be offered if the customer makes a bulk purchase or makes a payment before the stipulated time. Such discounts are reduced from Gross Sales.
1343175	Discounted Unit Price is the price per unit (Unit Price) where the Discount has been applied. 
1343164	Total Sales volume is the number of units sold within a reporting period. This indicator is monitored by investors to see if a business is expanding or contracting. Within a business, total sales volume is monitored at the level of the product, product line, customer, subsidiary, or sales region. This information is used to alter the investments targeted at any of these areas.
1343165	A sales channel is the way how the products are distributed to the market. It can be through direct or indirect routes. There are currently two channels used in AdventureWorks: a direct internet channel and an indirect reseller channel.
1343166	An article or substance that is manufactured or refined for sale.
1343167	A product category is a group of similar products that share related characteristics.
1343168	The price for a single unit of measure of a product sold in more or less than the single unit.
1343159	A division of a business enterprise dealing with a particular area of activity.
1343161	Profit is the positive amount remaining after subtracting expenses incurred from the revenues generated over a designated period of time. This is one of the core measurements of the viability of a business, and so is closely watched by investors and lenders. Profitability can be quite hard to achieve for a startup business, since it is struggling to create a customer base and is not yet certain of the most efficient way in which to operate.
1343158	An employee is a person who has agreed to be employed to work for some form of payment under a contract of employment.
1343160	Candidate is a job seeker who has been pre-qualified for a specific position or category of jobs and has been through the application process. 
1343169	A person is a being that has certain capacities or attributes such as reason, morality, consciousness, or self-consciousness, and is a part of a culturally established form of social relations such as kinship, ownership of property, or legal responsibility.
1343162	Purchase is to buy something. noun. acquisition by the payment of money or its equivalent; buying, or a single act of buying. something that is purchased or bought. something purchased, with respect to value in relation to price; buy: At three for a dollar they seemed like a good purchase.
1343163	The purchasing process is the steps a business goes through to complete a transaction. Businesses typically go through a formal process when purchasing something, unlike consumers. Purchases for a business can require research, input from different departments, negotiations and invoicing. Professionals may closely associate the purchasing process with the procurement process. However, the procurement process focuses more on strategies, such as negotiations and researching. The purchasing process focuses on the actual act of buying products and services.
1343152	Customers are important because they drive revenues; without them, businesses cannot continue to exist. All businesses compete with other companies to attract customers, either by aggressively advertising their products, by lowering prices to expand their customer bases, or by developing unique products and experiences that customers love.Customer metrics are measurable data points that provide insights into how customers are interacting with a company's products, services, or brand. These metrics are used to evaluate the performance of a business in terms of customer acquisition, retention, satisfaction, and loyalty. Customer metrics can be quantitative or qualitative and can include both behavioral and attitudinal measurements.Examples of customer metrics include:Customer acquisition cost (CAC): the cost of acquiring a new customer.Customer lifetime value (CLV): the total value a customer brings to a business over the course of their relationship.Net Promoter Score (NPS): a measure of customer loyalty and satisfaction based on the likelihood of a customer recommending a company to others.Churn rate: the rate at which customers stop using a product or service.Customer satisfaction score (CSAT): a measure of how satisfied customers are with a product or service.Customer retention rate: the percentage of customers who continue to use a product or service over a given period.Average order value (AOV): the average amount spent by customers in a single purchase.Customer engagement: the level of involvement and interaction a customer has with a company's products, services, or brand.
